mission,title,subtitle,author,type,desc
Core-Wisdom,The Second Mountain,The Quest for a Moral Life,David Brooks,Philosopher's Notes,"David Brooks is one of the nations’ leading writers and commentators. He is an op-ed columnist for the New York Times and appears regularly on PBS NewsHour and Meet the Press. I loved his book The Road to Character. I loved this one even more. David tells us there are two mountains: The first mountain? That’s what society tells us we should pursue: all the normal trappings of success. The second mountain? That’s where the magic (and joy!) exists: where we move beyond ourselves and COMMIT (important word for this book!) to giving ourselves most fully to something bigger than ourselves. David identifies four potential commitments: to our families, to our vocations, to our faith/philosophy of life and to our communities. Ultimately, the book is intended to be a guide to the ULTIMATE quest in life: “The Quest for a Moral Life.”"
Core-Wisdom,Letters from a Stoic,,Seneca,Philosopher's Notes,"Seneca. He was born around the same time as Jesus and was one of the leading figures in his Roman Empire. He was also one of history's leading Stoic philosophers (along with Marcus Aurelius and Epictetus who we also profile) and has some powerful wisdom to share. In this Note, we'll explore the purpose of philosophy, the importance of focusing our attention and the mojo that comes from facing our fears."
Core-Wisdom,The 5 Second Rule,"Transform Your Life, Work, and Confidence with Everyday Courage",Mel Robbins,Philosopher's Notes,"Mel Robbins is funny, witty and wise. Her TEDx Talk (called How to stop screwing yourself over) is one of the most popular of all time, with more than 18 million views. This book is also super popular—with over 1,000 Amazon reviews. It’s pretty awesome. Actually, the book is REALLY (!) good. In fact, Mel Robbins’ 5 Second Rule might just be one of THE most elegantly efficient Tools we can use to close the gap between who we’re CAPABLE of being and who we’re ACTUALLY being. (Seriously.) Big Ideas we explore include The 5 Second Rule (and how/when to rock it), how to win the game of life (hint: start, stay in, for the long game!), excitement + anxiety (and how they feel the same in the body), managing distractions (today a good day?), and changing your life with one moment of everyday courage."
Core-Wisdom,The Bhagavad Gita,A Classic of Indian Spirituality,"Krishna, Eknath Easwaran",Philosopher's Notes,"The classic text of Hinduism is *packed* with wisdom. In the Note, we take a super quick look at the context for the book and then jump into some powerful wisdom—including the importance of meditation, the fact that making mistakes is an inherent part of our growth process and the uber-importance of letting go of our attachment to results."
Core-Wisdom,Self-theories,"Their Role in Motivation, Personality, and Development (Essays in Social Psychology)",Carol Dweck,Philosopher's Notes,"Carol Dweck is one of the world’s leading researchers on the science of motivation. This book is a collection of brief essays on various aspects of “self-theories.” It’s essentially a bridge between her extensive academic research studies and her popular book Mindset. It’s amazing. Big Ideas we explore include the two frameworks (entity vs. incremental) and their two goals (performance vs. learning), attributional retraining (aka learning the best way to respond to failure!), and moving from contingent self-worth to wholehearted self-esteem."
Core-Wisdom,Optimizing for the Modern Hērō 101,,,101 Classes,"I created this class after my friend Matt McCall (who helps run the Pritzker Group Venture Capital fund) asked me to do a talk for 60 of their portfolio CEOs. He was thinking “Optimizing for Supheroes 101.” I loved that idea and decided it would be the perfect context to share my absolute best stuff and here we are. 🤓 In this extra-long class, we start by connecting “Optimizing” and “Hērō” to their ancient Greek philosophical roots then we proceed to walk thru how to go about integrating ancient wisdom, modern science and practical tools to harness our soul force to build strength for two such that we can create our best, most heroic lives."
Core-Wisdom,110-Year-Old You,,,+1s,"In his great book Happier, Tal Ben-Shahar tells us that we have all the wisdom we will ever need—as evidenced by individuals who undergo a traumatic life experience and then radically transform their lives."
Core-Wisdom,A Quick Trip to Hell,,,+1s,"In Greatest Year Ever 2019, we kicked the party off by reminding ourselves of the ultimate game we’re playing—leaning into Aristotle’s wisdom (yet again!) that the summum bonum of life (the highest good!) is to experience the joy of flourishing by having a great relationship with our inner soul."
Core-Wisdom,Dominoes,,,+1s,Are you familiar with the physics of dominoes?
Core-Wisdom,Eulogy Virtues,,,+1s,"In our last +1, we talked about the fact that the word character comes from the Greek word for “chisel.”"
